EMPREENDIMENTO,Responsável pela execução,Geral,Assunto,Status da Contratação,?!,Situação,Status Andamento,Início,Previsão de entrega,Entrega Efetiva,Observações e Rotinas
Cacupé,,Obra,Sondagem,,,,,,,,
Cacupé,,Processos,Consulta de Viabilidade de Água,,,,,,,,
Cacupé,,Processos,Consulta de Viabilidade de Esgoto,,,,,,,,
Cacupé,,Processos,Consulta de Viabilidade de Energia,,,,,,,,
Cacupé,,Processos,Consulta de Viabilidade de Drenagem,,,,,,,,
Cacupé,,Processos,Consulta de Viabilidade de Resíduos,,,,,,,,
Cacupé,,Gestão,Coordenação e Compatibilização,,,,,,,,
Cacupé,,Projetos,Projeto - Arquitetônico - Legal,,,,,,,,
Cacupé,,Projetos,Projeto - Arquitetônico - Desenvolvimento,,,,,,,,
Cacupé,,Processos,Aprovação - Arquitetônico,,,,,,,,
Cacupé,,Projetos,Projeto - Interiores -  área comum,,,,,,,,
Cacupé,,Projetos,Projeto de Interiores - Comercial,,,,,,,,
Cacupé,,Projetos,Projeto - Paisagismo,,,,,,,,
Cacupé,,Documentação,Orçamento,,,,,,,,
Cacupé,,Documentação,Cronograma de Obra,,,,,,,,
Cacupé,,Documentação,Compatibilização,,,,,,,,
Cacupé,,Projetos,Projeto - Estrutural,,,,,,,,
Cacupé,,Projetos,Projeto -  Fundações e Contenções,,,,,,,,
Cacupé,,Projetos,Projeto - Hidrossanitário,,,,,,,,
Cacupé,,Processos,Aprovação - Hidrossanitário,,,,,,,,
Cacupé,,Projetos,Projeto - PPCI,,,,,,,,
Cacupé,,Processos,Aprovação - PPCI,,,,,,,,
Cacupé,,Projetos,Projeto - Elétrica e Telecom,,,,,,,,
Cacupé,,Ambiental,Aprovação - Elétrica,,,,,,,,
Cacupé,,Projetos,Projeto Exaustão e Climatização,,,,,,,,
Cacupé,,Projetos,Projeto de SPDA,,,,,,,,
Cacupé,,Projetos,Projeto - Segurança e Automação,,,,,,,,
Cacupé,,Projetos,Projeto - Ancoragem,,,,,,,,
Cacupé,,Projetos,Consultoria - Elevadores,,,,,,,,
Cacupé,,Projetos,Projeto - Impermeabilização,,,,,,,,
Cacupé,,Projetos,Projeto - ETE - Empreendimento,,,,,,,,
Cacupé,,Projetos,Projeto - ETE - Implantação,,,,,,,,
Cacupé,,Projetos,Projeto de Irrigação,,,,,,,,
Cacupé,,Projetos,Comunicação Visual/sinalização,,,,,,,,
Cacupé,,Projetos,Fachada - Projeto de execução,,,,,,,,
Cacupé,,Projetos,Projeto - Piscina,,,,,,,,
Cacupé,,Projetos,Projeto de Sauna,,,,,,,,
Cacupé,,Projetos,Luminotécnico,,,,,,,,
Cacupé,,Projetos,Exaustão,,,,,,,,
Cacupé,,Projetos,Relatório de Desempenho Acústico,,,,,,,,
Cacupé,,Projetos,Relatório de Desempenho Térmico,,,,,,,,
Cacupé,,Projetos,Relatório de Desempenho Lumínico,,,,,,,,
Cacupé,,Projetos,Projeto de Terraplanagem,,,,,,,,
Cacupé,,Projetos,Projeto de Infiltração,,,,,,,,
Cacupé,,Projetos,Projeto de Drenagem,,,,,,,,
Cacupé,,Projetos,Projeto de Subsolo,,,,,,,,
Cacupé,,Projetos,Projeto de Extensão de Rede,,,,,,,,
Cacupé,,Ambiental,Projeto - Estudo de Impacto de Vizinhança - EIV,,,,,,,,
Cacupé,,Processos,Aprovação - Estudo de Impacto de Vizinhança - EIV,,,,,,,,
Cacupé,,Ambiental,Licenciamento Ambiental,,,,,,,,
Cacupé,,Processos,Processo LAP/LAI,,,,,,,,
Cacupé,,Ambiental,Inventário Florestal,,,,,,,,
Cacupé,,Processos,Autorização de Corte,,,,,,,,
Cacupé,,Projetos,"Projetos para Outorga (Drenagem, praça, etc)",,,,,,,,
Cacupé,,Processos,Aprovação Destinação Outorga,,,,,,,,
Cacupé,,Processos,Aprovação - Arte Pública,,,,,,,,
Cacupé,,Processos,Aprovação - Melhorias Urbanas,,,,,,,,
Cacupé,,Processos,Alvará de Construção,,,,,,,,
Cacupé,,Documentação,Laudo Cautelar de Vizinhança,,,,,,,,
Cacupé,,Documentação,Planilha NBR 12.721,,,,,,,,
Cacupé,,Documentação,Registro de Incorporação,,,,,,,,
Cacupé,,Marketing,Planejamento de Marketing e de Comunicação,,,,,,,,
Cacupé,,Marketing,Imagens 3d,,,,,,,,
Cacupé,,Comercial,Tabela de Vendas,,,,,,,,
Cacupé,,Comercial,Planejamento de Lançamento,,,,,,,,
Cacupé,,Gestão,LANÇAMENTO,,,,,,,,
Cacupé,,Projetos,Projeto de Rebaixamento de Lençol Freático,,,,,,,,
Cacupé,,Projetos,Consultoria de Certificação,,,,,,,,
Cacupé,,Projetos,Projeto de Acessibilidade,,,,,,,,
Cacupé,,Projetos,Energia Fotovoltaica,,,,,,,,
Cacupé,,Projetos,Drywall,,,,,,,,
Cacupé,,Projetos,Projeto de Interiores - Área Privativa,,,,,,,,
Cacupé,,Projetos,Relatório de norma de desempenho - NBR 15.575,,,,,,,,
Cacupé,,Projetos,Projeto de Acesso e Sinalização - SIE,,,,,,,,
Cacupé,,Processos,Viabilidade - Acesso - SIE ,,,,,,,,
Cacupé,,Processos,Aprovação - Projeto de acesso - SIE ,,,,,,,,
